id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways	gprfeat
rxn02201_c0	>	Cytosol_0	ASE09_RS30290	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase_c0		-32.19		(1)  cpd00443[c0] + (1)  cpd02920[c0] => (1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd00683[c0]	(1)  ABEE_c0[c0] + (1)  2-Amino-4-hydroxy-6-hydroxymethyl-7-8-dihydropteridinediphosphate_c0[c0] => (1)  PPi_c0[c0] + (1)  H+_c0[c0] + (1)  Dihydropteroate_c0[c0]	rxn02201	DHPS2	R03067	Folate biosynthesis	ALL-CHORISMATE-PWY|Biosynthesis|Cofactor-Biosynthesis|FOLSYN-PWY|Folate-Biosynthesis|Vitamin-Biosynthesis	(fig|1736582.3.peg.6340)
rxn07431_c0	=	Cytosol_0	(ASE09_RS32105 and ASE09_RS32100)	R07600_c0		-2.81		(1)  cpd00213[c0] + (1)  cpd14700[c0] <=> (1)  cpd00056[c0] + (1)  cpd02700[c0]	(1)  Lipoamide_c0[c0] + (1)  2-Methyl-1-hydroxypropyl-TPP_c0[c0] <=> (1)  TPP_c0[c0] + (1)  S-(2-Methylpropionyl) -dihydrolipoamide_c0[c0]	rxn07431		R07600	Valine, leucine and isoleucine degradation		(fig|1736582.3.peg.6720 OR fig|1736582.3.peg.6702) AND (fig|1736582.3.peg.6719 OR fig|1736582.3.peg.6701)
rxn00836_c0	<	Cytosol_0	ASE09_RS30250	IMP:diphosphate phospho-D-ribosyltransferase_c0		12.54		(1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd00114[c0] <= (1)  cpd00103[c0] + (1)  cpd00226[c0]	(1)  PPi_c0[c0] + (1)  H+_c0[c0] + (1)  IMP_c0[c0] <= (1)  PRPP_c0[c0] + (1)  HYXN_c0[c0]	rxn00836	HPT1_1	R01132	Purine metabolism	Adenine-Adenosine-Salvage|Biosynthesis|Nucleotide-Biosynthesis|PUR-NUC-SYN|Purine-Nucleotides-Salvage	(fig|1736582.3.peg.6332)
rxn08180_c0	>	Cytosol_0	ASE09_RS05365	Biotin synthase_c0		-14.98		(1)  cpd00017[c0] + (1)  cpd00074[c0] + (1)  cpd01311[c0] => (1)  cpd00060[c0] + (1)  cpd00067[c0] + (1)  cpd00104[c0] + (1)  cpd03091[c0]	(1)  S-Adenosyl-L-methionine_c0[c0] + (1)  S_c0[c0] + (1)  Dethiobiotin_c0[c0] => (1)  L-Methionine_c0[c0] + (1)  H+_c0[c0] + (1)  BIOT_c0[c0] + (1)  5'-Deoxyadenosine_c0[c0]	rxn08180	BTS4				(fig|1736582.3.peg.1105)
rxn00364_c0	=	Cytosol_0	ASE09_RS13040	ATP:CMP phosphotransferase_c0		9.53		(1)  cpd00002[c0] + (1)  cpd00046[c0] + (1)  cpd00067[c0] <=> (1)  cpd00008[c0] + (1)  cpd00096[c0]	(1)  ATP_c0[c0] + (1)  CMP_c0[c0] + (1)  H+_c0[c0] <=> (1)  ADP_c0[c0] + (1)  CDP_c0[c0]	rxn00364	CYTK1	R00512	Pyrimidine metabolism	Biosynthesis|Metabolic-Clusters|Nucleotide-Biosynthesis|P1-PWY|PRPP-PWY|PUR-NUC-SYN|PWY0-162|PWY0-163|PYR-NUC-SYN|Purine-Nucleotides-Salvage|Pyrimidine-De-Novo-Biosyn|Pyrimidine-Nucleotide-Salvage	(fig|1736582.3.peg.2730)
rxn03408_c0	=	Cytosol_0	(ASE09_RS18205 or ASE09_RS20615)	UDP-N-acetyl-D-glucosamine:undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine 4-beta-N-acetylglucosaminlytransferase_c0		-1.7		(1)  cpd00037[c0] + (1)  cpd03494[c0] <=> (1)  cpd00014[c0] + (1)  cpd03495[c0]	(1)  UDP-N-acetylglucosamine_c0[c0] + (1)  Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine_c0[c0] <=> (1)  UDP_c0[c0] + (1)  Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala_c0[c0]	rxn03408		R05032	Peptidoglycan biosynthesis		(fig|1736582.3.peg.3792 OR fig|1736582.3.peg.4294)
rxn02177_c0	>	Cytosol_0	(ASE09_RS29325 or ASE09_RS07780 or ASE09_RS05900)	Isochorismate pyruvate-hydrolase_c0		-12.22		(1)  cpd00001[c0] + (1)  cpd00658[c0] => (1)  cpd00020[c0] + (1)  cpd02566[c0]	(1)  H2O_c0[c0] + (1)  Isochorismate_c0[c0] => (1)  Pyruvate_c0[c0] + (1)  2,3-Dihydroxy-2,3-dihydrobenzoate_c0[c0]	rxn02177		R03037	Biosynthesis of siderophore group nonribosomal peptides	ALL-CHORISMATE-PWY|AROMATIC-COMPOUNDS-BIOSYN|Biosynthesis|ENTBACSYN-PWY|Siderophores-Biosynthesis	(fig|1736582.3.peg.1222 OR fig|1736582.3.peg.6141 OR fig|1736582.3.peg.1616)
rxn05250_c0	>	Cytosol_0	(ASE09_RS34190 or ASE09_RS06320 or ASE09_RS12360 or ASE09_RS13680 or ASE09_RS23085 or ASE09_RS09660 or ASE09_RS22030 or ASE09_RS14725 or ASE09_RS27935 or ASE09_RS15920 or ASE09_RS06465 or ASE09_RS33640 or ASE09_RS16470 or ASE09_RS13600 or ASE09_RS05535 or ASE09_RS27910 or ASE09_RS17950 or ASE09_RS33630 or ASE09_RS09755 or ASE09_RS03170 or ASE09_RS07735 or ASE09_RS27870)	FACOAL160(ISO)_c0		-4.296		(1)  cpd00002[c0] + (1)  cpd00010[c0] + (1)  cpd11440[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  cpd11441[c0]	(1)  ATP_c0[c0] + (1)  CoA_c0[c0] + (1)  fa6_c0[c0] => (1)  PPi_c0[c0] + (1)  AMP_c0[c0] + (1)  fa6coa_c0[c0]	rxn05250					(fig|1736582.3.peg.7011 OR fig|1736582.3.peg.2587 OR fig|1736582.3.peg.1142 OR fig|1736582.3.peg.1607 OR fig|1736582.3.peg.1343 OR fig|1736582.3.peg.3740 OR fig|1736582.3.peg.5848 OR fig|1736582.3.peg.3317 OR fig|1736582.3.peg.2035 OR fig|1736582.3.peg.3079 OR fig|1736582.3.peg.2863 OR fig|1736582.3.peg.1315 OR fig|1736582.3.peg.2016 OR fig|1736582.3.peg.4824 OR fig|1736582.3.peg.5839 OR fig|1736582.3.peg.5853)
rxn05440_c0	>	Cytosol_0	ASE09_RS19610	7-methyl-trans-oct-2-enoyl-ACP:NAD+ oxidoreductase (A-specific)_c0		-16.55		(1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd11527[c0] => (1)  cpd00003[c0] + (1)  cpd11528[c0]	(1)  NADH_c0[c0] + (1)  H+_c0[c0] + (1)  7-methyl-trans-oct-2-enoyl-ACP_c0[c0] => (1)  NAD_c0[c0] + (1)  7-methyl-octanoyl-ACP_c0[c0]	rxn05440					(fig|1736582.3.peg.4079)
rxn01673_c0	=	Cytosol_0	ASE09_RS15665	ATP:dCDP phosphotransferase_c0		0.0		(1)  cpd00002[c0] + (1)  cpd00533[c0] <=> (1)  cpd00008[c0] + (1)  cpd00356[c0]	(1)  ATP_c0[c0] + (1)  dCDP_c0[c0] <=> (1)  ADP_c0[c0] + (1)  dCTP_c0[c0]	rxn01673	NDPK7	R02326	Pyrimidine metabolism	Biosynthesis|Nucleotide-Biosynthesis|PWY0-166|PYR-NUC-SYN|Pyrimid-Deoxyribonucleot-De-Novo-Biosyn	(fig|1736582.3.peg.3265)
