Well	Compound	Class	Root9	Root66D1	Root491
D12	Agmatine	Amines	2.07321046278849	4.23580389109921	0
D9	Ethanolamine	Amines	0.438365120218761	0.611752601441733	0.71048799706607
D8	Ethylamine	Amines	0	0	0
D10	Ethylenediamine	Amines	0	0	0
E1	Histamine	Amines	0	0	0
D5	Methylamine	Amines	0	0	0.674153853800173
D6	N-Amylamine	Amines	0	0	0
D7	N-Butylamine	Amines	0	0	0
D11	Putrescine	Amines	0.527665410511691	1.43865561476934	0
E3	Tyramine	Amines	0	0	0
E2	b-Phenylethylamine	Amines	0	0	0
G10	D-L-a-Amino-Caprylic-Acid	Amino acid derivatives	0.219849777837552	0	0.890850432432253
G7	D-L-a-Amino-N-Butyric-Acid	Amino acid derivatives	0	0.690497521451512	0
C10	L-Citrulline	Amino acid derivatives	1.96035351213776	1.30156518531588	1.10857388914071
C11	L-Homoserine	Amino acid derivatives	0	0.736514881434737	1.05436443249304
C12	L-Ornithine	Amino acid derivatives	2.0990618831775	0.671040519076489	1.89910942379693
D3	L-Pyroglutamic-Acid	Amino acid derivatives	1.88366598794508	0	3.28010773032902
D1	N-Acetyl-L-Glutamic-Acid	Amino acid derivatives	0	0	0
D2	N-Phthaloyl-L-Glutamic-Acid	Amino acid derivatives	0	0	0
G12	a-Amino-N-Valeric-Acid	Amino acid derivatives	0.203336690033586	0	0
G8	g-Amino-N-Butyric-Acid	Amino acid derivatives	2.49387402034586	1.71802370988376	1.54646411326149
G11	d-Amino-N-Valeric-Acid	Amino acid derivatives	1.79326805184188	0.570582167704712	0.580530201902555
G9	e-Amino-N-Caproic-Acid	Amino acid derivatives	0	0.677241287900315	0
C3	D-Alanine	D-amino acids	2.63436433566127	1.04879652211624	1.99168883329422
C4	D-Asparagine	D-amino acids	0	0	2.15091157832542
C5	D-Aspartic-Acid	D-amino acids	0	0	1.08187742699414
C6	D-Glutamic-Acid	D-amino acids	0.107772596145322	0	1.48832344821558
C7	D-Lysine	D-amino acids	1.1183482678474	0	0.532537751084965
C8	D-Serine	D-amino acids	1.44221208049774	1.68758349413042	0
C9	D-Valine	D-amino acids	0	0	0
A2	Ammonia	Inorganic compounds	2.12973542105022	1.22170065679684	2.33616951801223
D4	Hydroxylamine	Inorganic compounds	0	0	0
A4	Nitrate	Inorganic compounds	2.05224273117568	2.09450096751113	2.37520176565157
A3	Nitrite	Inorganic compounds	0.487583018559785	2.15050125463263	0.595045655777087
B2	Glycine	L-amino acids	2.44590859711311	2.18661505658994	2.57241072533753
A7	L-Alanine	L-amino acids	2.72901394478573	1.82534126639577	2.31477795784376
A8	L-Arginine	L-amino acids	2.80216261037828	2.1886137881423	2.46020732659282
A9	L-Asparagine	L-amino acids	2.75204744840493	3.11693980585107	4.02893697214826
A10	L-Aspartic-Acid	L-amino acids	2.48592657277476	3.42939272706005	3.86403579224811
A11	L-Cysteine	L-amino acids	0	0	4.17583767175097
A12	L-Glutamic-Acid	L-amino acids	2.57846058847471	3.89510020598947	3.14573568637306
B1	L-Glutamine	L-amino acids	3.01580715285159	2.05443647530576	3.14382149403548
B3	L-Histidine	L-amino acids	2.56829748061553	1.81001240365671	1.89985656457345
B4	L-Isoleucine	L-amino acids	0	0.877214858259277	0
B5	L-Leucine	L-amino acids	0	0.897261460622823	0.710232010241132
B6	L-Lysine	L-amino acids	1.65189410077814	1.80873421043998	1.14539542203497
B7	L-Methionine	L-amino acids	0	0	0.427240466544536
B8	L-Phenylalanine	L-amino acids	0	0.69358917716604	0.427970810861577
