id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways
rxn02201_c0	>	Cytosol_0	((ASD46_RS00500 or WP_029658760.1) or (WP_025592537.1 or ASD46_RS04165))	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase_c0		-32.19		(1)  cpd00443[c0] + (1)  cpd02920[c0] => (1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd00683[c0]	(1)  ABEE_c0[c0] + (1)  2-Amino-4-hydroxy-6-hydroxymethyl-7-8-dihydropteridinediphosphate_c0[c0] => (1)  PPi_c0[c0] + (1)  H+_c0[c0] + (1)  Dihydropteroate_c0[c0]	rxn02201	DHPS2	R03067	Folate biosynthesis	ALL-CHORISMATE-PWY|Biosynthesis|Cofactor-Biosynthesis|FOLSYN-PWY|Folate-Biosynthesis|Vitamin-Biosynthesis
rxn00351_c0	>	Cytosol_0	(ASD46_RS07480 or ASD46_RS05575 or WP_004432010.1 or WP_003514721.1)	gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)_c0		-6.35		(1)  cpd00002[c0] + (1)  cpd00033[c0] + (1)  cpd00506[c0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00042[c0] + (1)  cpd00067[c0]	(1)  ATP_c0[c0] + (1)  Glycine_c0[c0] + (1)  gamma-Glutamylcysteine_c0[c0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  GSH_c0[c0] + (1)  H+_c0[c0]	rxn00351	GSH2	R00497	Glutathione metabolism	Biosynthesis|Cofactor-Biosynthesis|GLUTATHIONESYN-PWY|Reductants
rxn00062_c0	>	Cytosol_0	(WP_019567097.1 or WP_003513690.1 or ASD46_RS09370 or ASD46_RS16790)	ATP phosphohydrolase_c0	3.6.1.3|3.6.3.15|3.6.3.50|3.6.3.51|3.6.3.52|3.6.4.1|3.6.4.10|3.6.4.11|3.6.4.12|3.6.4.13|3.6.4.2|3.6.4.4|3.6.4.5|3.6.4.6|3.6.4.7|3.6.4.8|3.6.4.9	-6.82		(1)  cpd00001[c0] + (1)  cpd00002[c0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  H+_c0[c0]	rxn00062	ATPM	R00086	Purine metabolism|Methane metabolism	
rxn06472_c0	=	Cytosol_0	(WP_025593035.1 or ASD46_RS01660)	(5-L-Glutamyl)-L-amino-acid 5-glutamyltransferase (cyclizing)_c0		-12.67		(1)  cpd12381[c0] <=> (1)  cpd01293[c0] + (1)  cpd11623[c0]	(1)  (5-L-Glutamyl) -L-amino acid_c0[c0] <=> (1)  5-Oxoproline_c0[c0] + (1)  L-Amino acid_c0[c0]	rxn06472		R03749	Glutathione metabolism	
rxn00423_c0	>	Cytosol_0	(WP_003515358.1 or ASD46_RS19000)	acetyl-CoA:L-serine O-acetyltransferase_c0		-3.61		(1)  cpd00022[c0] + (1)  cpd00054[c0] => (1)  cpd00010[c0] + (1)  cpd00722[c0]	(1)  Acetyl-CoA_c0[c0] + (1)  L-Serine_c0[c0] => (1)  CoA_c0[c0] + (1)  O-Acetyl-L-serine_c0[c0]	rxn00423	SERAT	R00586	Cysteine and methionine metabolism|Sulfur metabolism	Amino-Acid-Biosynthesis|Biosynthesis|CYSTEINE-SYN|CYSTSYN-PWY|Detoxification|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|Other-biosynthesis|SULFATE-CYS-PWY
rxn00364_c0	=	Cytosol_0	(ASD46_RS07295 or WP_050923922.1)	ATP:CMP phosphotransferase_c0		9.53		(1)  cpd00002[c0] + (1)  cpd00046[c0] + (1)  cpd00067[c0] <=> (1)  cpd00008[c0] + (1)  cpd00096[c0]	(1)  ATP_c0[c0] + (1)  CMP_c0[c0] + (1)  H+_c0[c0] <=> (1)  ADP_c0[c0] + (1)  CDP_c0[c0]	rxn00364	CYTK1	R00512	Pyrimidine metabolism	Biosynthesis|Metabolic-Clusters|Nucleotide-Biosynthesis|P1-PWY|PRPP-PWY|PUR-NUC-SYN|PWY0-162|PWY0-163|PYR-NUC-SYN|Purine-Nucleotides-Salvage|Pyrimidine-De-Novo-Biosyn|Pyrimidine-Nucleotide-Salvage
rxn03408_c0	=	Cytosol_0	(WP_013636510.1 or ASD46_RS17920)	UDP-N-acetyl-D-glucosamine:undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine 4-beta-N-acetylglucosaminlytransferase_c0		-1.7		(1)  cpd00037[c0] + (1)  cpd03494[c0] <=> (1)  cpd00014[c0] + (1)  cpd03495[c0]	(1)  UDP-N-acetylglucosamine_c0[c0] + (1)  Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine_c0[c0] <=> (1)  UDP_c0[c0] + (1)  Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala_c0[c0]	rxn03408		R05032	Peptidoglycan biosynthesis	
rxn02177_c0	>	Cytosol_0	(ASD46_RS08245 or WP_038495882.1 or ASD46_RS23935 or WP_003517050.1)	Isochorismate pyruvate-hydrolase_c0		-12.22		(1)  cpd00001[c0] + (1)  cpd00658[c0] => (1)  cpd00020[c0] + (1)  cpd02566[c0]	(1)  H2O_c0[c0] + (1)  Isochorismate_c0[c0] => (1)  Pyruvate_c0[c0] + (1)  2,3-Dihydroxy-2,3-dihydrobenzoate_c0[c0]	rxn02177		R03037	Biosynthesis of siderophore group nonribosomal peptides	ALL-CHORISMATE-PWY|AROMATIC-COMPOUNDS-BIOSYN|Biosynthesis|ENTBACSYN-PWY|Siderophores-Biosynthesis
rxn05250_c0	>	Cytosol_0	(WP_003514883.1 or ASD46_RS05095)	FACOAL160(ISO)_c0		-4.296		(1)  cpd00002[c0] + (1)  cpd00010[c0] + (1)  cpd11440[c0] => (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  cpd11441[c0]	(1)  ATP_c0[c0] + (1)  CoA_c0[c0] + (1)  fa6_c0[c0] => (1)  PPi_c0[c0] + (1)  AMP_c0[c0] + (1)  fa6coa_c0[c0]	rxn05250				
rxn00646_c0	>	Cytosol_0	(WP_025592557.1 or ASD46_RS04080)	L-glutamate:L-cysteine gamma-ligase (ADP-forming)_c0		-6.35		(1)  cpd00002[c0] + (1)  cpd00023[c0] + (1)  cpd00084[c0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd00506[c0]	(1)  ATP_c0[c0] + (1)  L-Glutamate_c0[c0] + (1)  L-Cysteine_c0[c0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  H+_c0[c0] + (1)  gamma-Glutamylcysteine_c0[c0]	rxn00646	GLUCYS	R00894	Glutathione metabolism	Biosynthesis|Cofactor-Biosynthesis|GLUTATHIONESYN-PWY|Other-biosynthesis|Reductants
rxn00935_c0	=	Cytosol_0	(ASD46_RS03330 or WP_025592695.1)	(S)-Malate:(acceptor) oxidoreductase_c0		-3.1		(1)  cpd00015[c0] + (1)  cpd00067[c0] + (1)  cpd00130[c0] <=> (1)  cpd00032[c0] + (1)  cpd00982[c0]	(1)  FAD_c0[c0] + (1)  H+_c0[c0] + (1)  L-Malate_c0[c0] <=> (1)  Oxaloacetate_c0[c0] + (1)  FADH2_c0[c0]	rxn00935		R01257	Pyruvate metabolism	
rxn01673_c0	=	Cytosol_0	(ASD46_RS01840 or WP_003502118.1 or ASD46_RS26095 or WP_060643041.1)	ATP:dCDP phosphotransferase_c0		0.0		(1)  cpd00002[c0] + (1)  cpd00533[c0] <=> (1)  cpd00008[c0] + (1)  cpd00356[c0]	(1)  ATP_c0[c0] + (1)  dCDP_c0[c0] <=> (1)  ADP_c0[c0] + (1)  dCTP_c0[c0]	rxn01673	NDPK7	R02326	Pyrimidine metabolism	Biosynthesis|Nucleotide-Biosynthesis|PWY0-166|PYR-NUC-SYN|Pyrimid-Deoxyribonucleot-De-Novo-Biosyn
rxn02360_c0	=	Cytosol_0	(WP_004431946.1 or ASD46_RS07370 or ASD46_RS21945 or ASD46_RS12465 or WP_003511150.1 or WP_025595940.1)	trans-4-Hydroxy-L-proline 2-epimerase_c0	5.1.1.8	0.0		(1)  cpd00851[c0] <=> (1)  cpd02175[c0]	(1)  trans-4-Hydroxy-L-proline_c0[c0] <=> (1)  cis-4-Hydroxy-D-proline_c0[c0]	rxn02360		R03296	Arginine and proline metabolism	4-Hydroxyproline-Degradation|Amino-Acid-Degradation|Degradation
rxn04933_c0	=	Cytosol_0	(ASD46_RS23670 or WP_060642904.1)	mannitol:NAD+ 1-oxidoreductase_c0		2.9		(1)  cpd00003[c0] + (1)  cpd00314[c0] <=> (1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd00138[c0]	(1)  NAD_c0[c0] + (1)  D-Mannitol_c0[c0] <=> (1)  NADH_c0[c0] + (1)  H+_c0[c0] + (1)  D-Mannose_c0[c0]	rxn04933		R07135		
