id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways
rxn02201_c0	>	Cytosol_0	ASD46_RS00500	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase_c0		-32.19		(1)  cpd00443[c0] + (1)  cpd02920[c0] => (1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd00683[c0]	(1)  ABEE_c0[c0] + (1)  2-Amino-4-hydroxy-6-hydroxymethyl-7-8-dihydropteridinediphosphate_c0[c0] => (1)  PPi_c0[c0] + (1)  H+_c0[c0] + (1)  Dihydropteroate_c0[c0]	rxn02201	DHPS2	R03067	Folate biosynthesis	ALL-CHORISMATE-PWY|Biosynthesis|Cofactor-Biosynthesis|FOLSYN-PWY|Folate-Biosynthesis|Vitamin-Biosynthesis
rxn00351_c0	>	Cytosol_0	(ASD46_RS07480 or ASD46_RS05575)	gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)_c0		-6.35		(1)  cpd00002[c0] + (1)  cpd00033[c0] + (1)  cpd00506[c0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00042[c0] + (1)  cpd00067[c0]	(1)  ATP_c0[c0] + (1)  Glycine_c0[c0] + (1)  gamma-Glutamylcysteine_c0[c0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  GSH_c0[c0] + (1)  H+_c0[c0]	rxn00351	GSH2	R00497	Glutathione metabolism	Biosynthesis|Cofactor-Biosynthesis|GLUTATHIONESYN-PWY|Reductants
rxn07431_c0	=	Cytosol_0	(ASD46_RS12565 and ASD46_RS12560)	R07600_c0		-2.81		(1)  cpd00213[c0] + (1)  cpd14700[c0] <=> (1)  cpd00056[c0] + (1)  cpd02700[c0]	(1)  Lipoamide_c0[c0] + (1)  2-Methyl-1-hydroxypropyl-TPP_c0[c0] <=> (1)  TPP_c0[c0] + (1)  S-(2-Methylpropionyl) -dihydrolipoamide_c0[c0]	rxn07431		R07600	Valine, leucine and isoleucine degradation	
rxn00836_c0	<	Cytosol_0	ASD46_RS13160	IMP:diphosphate phospho-D-ribosyltransferase_c0		12.54		(1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd00114[c0] <= (1)  cpd00103[c0] + (1)  cpd00226[c0]	(1)  PPi_c0[c0] + (1)  H+_c0[c0] + (1)  IMP_c0[c0] <= (1)  PRPP_c0[c0] + (1)  HYXN_c0[c0]	rxn00836	HPT1_1	R01132	Purine metabolism	Adenine-Adenosine-Salvage|Biosynthesis|Nucleotide-Biosynthesis|PUR-NUC-SYN|Purine-Nucleotides-Salvage
rxn08180_c0	>	Cytosol_0	ASD46_RS10260	Biotin synthase_c0		-14.98		(1)  cpd00017[c0] + (1)  cpd00074[c0] + (1)  cpd01311[c0] => (1)  cpd00060[c0] + (1)  cpd00067[c0] + (1)  cpd00104[c0] + (1)  cpd03091[c0]	(1)  S-Adenosyl-L-methionine_c0[c0] + (1)  S_c0[c0] + (1)  Dethiobiotin_c0[c0] => (1)  L-Methionine_c0[c0] + (1)  H+_c0[c0] + (1)  BIOT_c0[c0] + (1)  5'-Deoxyadenosine_c0[c0]	rxn08180	BTS4			
rxn01094_c0	>	Cytosol_0	ASD46_RS23930	2,3-dihydro-2,3-dihydroxybenzoate:NAD+ oxidoreductase_c0		-10.56		(1)  cpd00003[c0] + (1)  cpd02566[c0] => (1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd00168[c0]	(1)  NAD_c0[c0] + (1)  2,3-Dihydroxy-2,3-dihydrobenzoate_c0[c0] => (1)  NADH_c0[c0] + (1)  H+_c0[c0] + (1)  2,3-Dihydroxybenzoate_c0[c0]	rxn01094		R01505	Biosynthesis of siderophore group nonribosomal peptides	ALL-CHORISMATE-PWY|AROMATIC-COMPOUNDS-BIOSYN|Biosynthesis|ENTBACSYN-PWY|Siderophores-Biosynthesis
rxn00423_c0	>	Cytosol_0	ASD46_RS19000	acetyl-CoA:L-serine O-acetyltransferase_c0		-3.61		(1)  cpd00022[c0] + (1)  cpd00054[c0] => (1)  cpd00010[c0] + (1)  cpd00722[c0]	(1)  Acetyl-CoA_c0[c0] + (1)  L-Serine_c0[c0] => (1)  CoA_c0[c0] + (1)  O-Acetyl-L-serine_c0[c0]	rxn00423	SERAT	R00586	Cysteine and methionine metabolism|Sulfur metabolism	Amino-Acid-Biosynthesis|Biosynthesis|CYSTEINE-SYN|CYSTSYN-PWY|Detoxification|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|Other-biosynthesis|SULFATE-CYS-PWY
rxn00364_c0	=	Cytosol_0	(ASD46_RS07295 or ASD46_RS10410)	ATP:CMP phosphotransferase_c0		9.53		(1)  cpd00002[c0] + (1)  cpd00046[c0] + (1)  cpd00067[c0] <=> (1)  cpd00008[c0] + (1)  cpd00096[c0]	(1)  ATP_c0[c0] + (1)  CMP_c0[c0] + (1)  H+_c0[c0] <=> (1)  ADP_c0[c0] + (1)  CDP_c0[c0]	rxn00364	CYTK1	R00512	Pyrimidine metabolism	Biosynthesis|Metabolic-Clusters|Nucleotide-Biosynthesis|P1-PWY|PRPP-PWY|PUR-NUC-SYN|PWY0-162|PWY0-163|PYR-NUC-SYN|Purine-Nucleotides-Salvage|Pyrimidine-De-Novo-Biosyn|Pyrimidine-Nucleotide-Salvage
rxn05561_c0	=	Cytosol_0	(ASD46_RS21955 or ASD46_RS22910 or ASD46_RS11425 or ASD46_RS15955 or ASD46_RS21850)	Transport of dicarboxylates, extracellular_c0		0.0		(1)  cpd00067[e0] + (1)  cpd00106[e0] <=> (1)  cpd00067[c0] + (1)  cpd00106[c0]	(1)  H+_e0[e0] + (1)  Fumarate_e0[e0] <=> (1)  H+_c0[c0] + (1)  Fumarate_c0[c0]	rxn05561	FUMt2r			
rxn03408_c0	=	Cytosol_0	ASD46_RS17920	UDP-N-acetyl-D-glucosamine:undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine 4-beta-N-acetylglucosaminlytransferase_c0		-1.7		(1)  cpd00037[c0] + (1)  cpd03494[c0] <=> (1)  cpd00014[c0] + (1)  cpd03495[c0]	(1)  UDP-N-acetylglucosamine_c0[c0] + (1)  Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine_c0[c0] <=> (1)  UDP_c0[c0] + (1)  Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala_c0[c0]	rxn03408		R05032	Peptidoglycan biosynthesis	
